OrphaNumber,Disorder_Name,External_Source,External_ID,External_Mapping_Rel,External_Mapping_Status,Disorder_Synonyms
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,OMIM,232600,E (Exact mapping: the two concepts are equivalent),Validated,GSD due to muscle glycogen phosphorylase deficiency|GSD type 5|GSD type V|Glycogen storage disease type 5|Glycogen storage disease type V|Glycogenosis due to muscle glycogen phosphorylase deficiency|Glycogenosis type 5|Glycogenosis type V|McArdle disease|Myophosphorylase deficiency
166096,Von Willebrand disease type 3,OMIM,277480,E (Exact mapping: the two concepts are equivalent),Validated,
367,Glycogen storage disease due to glycogen branching enzyme deficiency,OMIM,232500,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Amylopectinosis|Andersen disease|GSD due to glycogen branching enzyme deficiency|GSD type 4|GSD type IV|Glycogen storage disease type 4|Glycogen storage disease type IV|Glycogenosis due to glycogen branching enzyme deficiency|Glycogenosis type 4|Glycogenosis type IV
367,Glycogen storage disease due to glycogen branching enzyme deficiency,OMIM,263570,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Amylopectinosis|Andersen disease|GSD due to glycogen branching enzyme deficiency|GSD type 4|GSD type IV|Glycogen storage disease type 4|Glycogen storage disease type IV|Glycogenosis due to glycogen branching enzyme deficiency|Glycogenosis type 4|Glycogenosis type IV
166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,OMIM,184840,E (Exact mapping: the two concepts are equivalent),Validated,"AD OSMED|Stickler syndrome type 3|Stickler syndrome, non-ocular type"
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,OMIM,232800,E (Exact mapping: the two concepts are equivalent),Validated,GSD due to muscle phosphofructokinase deficiency|GSD type 7|GSD type VII|Glycogen storage disease type 7|Glycogen storage disease type VII|Glycogenosis due to muscle phosphofructokinase deficiency|Glycogenosis type 7|Glycogenosis type VII|Tarui disease
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,OMIM,618855,E (Exact mapping: the two concepts are equivalent),Validated,
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,OMIM,232700,E (Exact mapping: the two concepts are equivalent),Validated,GSD due to liver glycogen phosphorylase deficiency|GSD type 6|GSD type VI|Glycogen storage disease type 6|Glycogen storage disease type VI|Glycogenosis due to liver glycogen phosphorylase deficiency|Glycogenosis type 6|Glycogenosis type VI|Hepatic glycogen phosphorylase deficiency|Hepatic phosphorylase deficiency|Hers disease|Liver glycogen phosphorylase deficiency
447,Paroxysmal nocturnal hemoglobinuria,OMIM,300818,E (Exact mapping: the two concepts are equivalent),Validated,Marchiafava-Micheli disease|PNH
447,Paroxysmal nocturnal hemoglobinuria,OMIM,615399,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Marchiafava-Micheli disease|PNH
166108,"Intellectual disability, Birk-Barel type",OMIM,612292,E (Exact mapping: the two concepts are equivalent),Validated,Intellectual disability-hypotonia-facial dysmorphism syndrome
166119,Isolated osteopoikilosis,OMIM,166700,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,
487,Krabbe disease,OMIM,245200,E (Exact mapping: the two concepts are equivalent),Validated,GALC deficiency|Galactocerebrosidase deficiency|Galactosylceramidase deficiency|Globoid cell leukodystrophy
487,Krabbe disease,OMIM,611722,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,GALC deficiency|Galactocerebrosidase deficiency|Galactosylceramidase deficiency|Globoid cell leukodystrophy
166260,Dentinogenesis imperfecta type 2,OMIM,125490,E (Exact mapping: the two concepts are equivalent),Validated,"Capdepont teeth|DGI-2|DI-2|Dentinogenesis imperfecta, Shields type 2"
166260,Dentinogenesis imperfecta type 2,OMIM,605594,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,"Capdepont teeth|DGI-2|DI-2|Dentinogenesis imperfecta, Shields type 2"
166265,Dentinogenesis imperfecta type 3,OMIM,125500,E (Exact mapping: the two concepts are equivalent),Validated,"Dentinogenesis imperfecta, Shields type 3"
583,Mucopolysaccharidosis type 6,OMIM,253200,E (Exact mapping: the two concepts are equivalent),Validated,ARSB deficiency|ASB deficiency|Arylsulfatase B deficiency|MPS6|MPSVI|Maroteaux-Lamy disease|Mucopolysaccharidosis type VI|N-acetylgalactosamine 4-sulfatase deficiency
166272,Odontochondrodysplasia,OMIM,184260,E (Exact mapping: the two concepts are equivalent),Validated,Chondrodysplasia-dentinogenesis imperfecta-joint laxity syndrome|Goldblatt chondrodysplasia|Goldblatt syndrome|ODCD
576,Mucolipidosis type II,OMIM,252500,E (Exact mapping: the two concepts are equivalent),Validated,I-cell disease|Mucolipidosis type II alpha/beta|N-acetylglucosamine 1-phosphotransferase deficiency
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,OMIM,604922,E (Exact mapping: the two concepts are equivalent),Validated,Suarez-Stickler syndrome
812,Sialidosis type 1,OMIM,256550,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,Cherry-red spot-myoclonus syndrome|Lipomucopolysaccharidosis|Normomorphic sialidosis
166282,Familial sick sinus syndrome,OMIM,163800,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
166282,Familial sick sinus syndrome,OMIM,182190,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
166282,Familial sick sinus syndrome,OMIM,608567,E (Exact mapping: the two concepts are equivalent),Validated,
166282,Familial sick sinus syndrome,OMIM,614090,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
578,Mucolipidosis type IV,OMIM,252650,E (Exact mapping: the two concepts are equivalent),Validated,
577,Mucolipidosis type III,OMIM,252600,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Pseudo-Hurler polydystrophy
577,Mucolipidosis type III,OMIM,252605,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Pseudo-Hurler polydystrophy
796,Sandhoff disease,OMIM,268800,E (Exact mapping: the two concepts are equivalent),Validated,GM2 gangliosidosis 0 variant|Hexosaminidases A and B deficiency
166409,Photosensitive epilepsy,OMIM,132100,E (Exact mapping: the two concepts are equivalent),Validated,
166409,Photosensitive epilepsy,OMIM,609572,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
166409,Photosensitive epilepsy,OMIM,609573,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
461,Recessive X-linked ichthyosis,OMIM,300001,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,RXLI|Steroid sulfatase deficiency|X-linked ichthyosis|XLI
461,Recessive X-linked ichthyosis,OMIM,308100,E (Exact mapping: the two concepts are equivalent),Validated,RXLI|Steroid sulfatase deficiency|X-linked ichthyosis|XLI
584,Mucopolysaccharidosis type 7,OMIM,253220,E (Exact mapping: the two concepts are equivalent),Validated,Beta-glucuronidase deficiency|MPS7|MPSVII|Mucopolysaccharidosis type VII|Sly disease
166412,Hot water reflex epilepsy,OMIM,613339,E (Exact mapping: the two concepts are equivalent),Validated,
166412,Hot water reflex epilepsy,OMIM,613340,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
166433,Reading seizures,OMIM,132300,E (Exact mapping: the two concepts are equivalent),Validated,
95,Friedreich ataxia,OMIM,229300,E (Exact mapping: the two concepts are equivalent),Validated,FA|FRDA
95,Friedreich ataxia,OMIM,601992,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,FA|FRDA
848,Beta-thalassemia,OMIM,613985,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
848,Beta-thalassemia,OMIM,603902,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
846,Alpha-thalassemia,OMIM,604131,E (Exact mapping: the two concepts are equivalent),Validated,
586,Cystic fibrosis,OMIM,219700,E (Exact mapping: the two concepts are equivalent),Validated,CF|Mucoviscidosis
261,Emery-Dreifuss muscular dystrophy,OMIM,614302,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,EDMD
261,Emery-Dreifuss muscular dystrophy,OMIM,616516,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,EDMD
261,Emery-Dreifuss muscular dystrophy,OMIM,181350,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,EDMD
261,Emery-Dreifuss muscular dystrophy,OMIM,300696,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,EDMD
261,Emery-Dreifuss muscular dystrophy,OMIM,310300,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,EDMD
261,Emery-Dreifuss muscular dystrophy,OMIM,612998,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,EDMD
261,Emery-Dreifuss muscular dystrophy,OMIM,612999,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,EDMD
550,MELAS,OMIM,540000,E (Exact mapping: the two concepts are equivalent),Validated,"Mitochondrial encephalomyopathy, lactic acidosis and stroke-like episodes|Mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes|Mitochondrial myopathy, encephalopathy, lactic acidosis and stroke-like episodes"
269,Facioscapulohumeral dystrophy,OMIM,158900,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,FSH dystrophy|FSHD|Facioscapulohumeral muscular dystrophy|Facioscapulohumeral myopathy|Landouzy-Dejerine dystrophy|Landouzy-Dejerine myopathy
269,Facioscapulohumeral dystrophy,OMIM,158901,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,FSH dystrophy|FSHD|Facioscapulohumeral muscular dystrophy|Facioscapulohumeral myopathy|Landouzy-Dejerine dystrophy|Landouzy-Dejerine myopathy
269,Facioscapulohumeral dystrophy,OMIM,600416,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,FSH dystrophy|FSHD|Facioscapulohumeral muscular dystrophy|Facioscapulohumeral myopathy|Landouzy-Dejerine dystrophy|Landouzy-Dejerine myopathy
480,Kearns-Sayre syndrome,OMIM,530000,E (Exact mapping: the two concepts are equivalent),Validated,
551,MERRF,OMIM,545000,E (Exact mapping: the two concepts are equivalent),Validated,Fukuhara syndrome|Myoclonus epilepsy associated with ragged-red fibres
597,Central core disease,OMIM,117000,E (Exact mapping: the two concepts are equivalent),Validated,
163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,OMIM,609136,E (Exact mapping: the two concepts are equivalent),Validated,Neurologic Waardenburg-Shah syndrome|PCWH|WS4 plus
684,Paramyotonia congenita of Von Eulenburg,OMIM,168300,E (Exact mapping: the two concepts are equivalent),Validated,Paramyotonia congenita
273,Steinert myotonic dystrophy,OMIM,160900,E (Exact mapping: the two concepts are equivalent),Validated,Myotonic dystrophy type 1|Steinert disease
163937,"X-linked intellectual disability, Najm type",OMIM,300749,E (Exact mapping: the two concepts are equivalent),Validated,MICPCH|X-linked intellectual disability-microcephaly-pontocerebellar hypoplasia syndrome
614,Thomsen and Becker disease,OMIM,160800,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Myotonia congenita
614,Thomsen and Becker disease,OMIM,255700,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Myotonia congenita
163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",OMIM,300863,E (Exact mapping: the two concepts are equivalent),Validated,X-linked dominant chondrodysplasia-hydrocephaly-microphthalmia syndrome
163976,"X-linked intellectual disability, Van Esch type",OMIM,301030,E (Exact mapping: the two concepts are equivalent),Validated,
163979,X-linked intellectual disability-craniofacioskeletal syndrome,OMIM,300712,E (Exact mapping: the two concepts are equivalent),Validated,
163953,"X-linked intellectual disability, Raymond type",OMIM,300799,E (Exact mapping: the two concepts are equivalent),Validated,
163956,"X-linked intellectual disability, Nascimento type",OMIM,300860,E (Exact mapping: the two concepts are equivalent),Validated,X-linked intellectual disability-nail dystrophy-seizures syndrome
163961,X-linked cerebral-cerebellar-coloboma syndrome,OMIM,300864,E (Exact mapping: the two concepts are equivalent),Validated,"X-linked intellectual disability, Kroes type"
324,Fabry disease,OMIM,301500,E (Exact mapping: the two concepts are equivalent),Validated,Alpha-galactosidase A deficiency|Anderson-Fabry disease|Angiokeratoma corporis diffusum|Diffuse angiokeratoma|FD
163982,X-linked intellectual disability-spastic quadriparesis syndrome,OMIM,309640,E (Exact mapping: the two concepts are equivalent),Validated,
163985,Hyperekplexia-epilepsy syndrome,OMIM,300607,E (Exact mapping: the two concepts are equivalent),Validated,
778,Rett syndrome,OMIM,312750,E (Exact mapping: the two concepts are equivalent),Validated,
72,Angelman syndrome,OMIM,105830,E (Exact mapping: the two concepts are equivalent),Validated,
307,Juvenile myoclonic epilepsy,OMIM,254770,E (Exact mapping: the two concepts are equivalent),Validated,JME|Juvenile myoclonus epilepsy
307,Juvenile myoclonic epilepsy,OMIM,604827,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,JME|Juvenile myoclonus epilepsy
307,Juvenile myoclonic epilepsy,OMIM,607628,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,JME|Juvenile myoclonus epilepsy
307,Juvenile myoclonic epilepsy,OMIM,607682,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,JME|Juvenile myoclonus epilepsy
307,Juvenile myoclonic epilepsy,OMIM,608816,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,JME|Juvenile myoclonus epilepsy
307,Juvenile myoclonic epilepsy,OMIM,611136,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,JME|Juvenile myoclonus epilepsy
307,Juvenile myoclonic epilepsy,OMIM,611364,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,JME|Juvenile myoclonus epilepsy
307,Juvenile myoclonic epilepsy,OMIM,613060,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,JME|Juvenile myoclonus epilepsy
307,Juvenile myoclonic epilepsy,OMIM,614280,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,JME|Juvenile myoclonus epilepsy
307,Juvenile myoclonic epilepsy,OMIM,617924,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,JME|Juvenile myoclonus epilepsy
1941,Juvenile absence epilepsy,OMIM,607631,E (Exact mapping: the two concepts are equivalent),Validated,JAE
892,Von Hippel-Lindau disease,OMIM,193300,E (Exact mapping: the two concepts are equivalent),Validated,Familial cerebelloretinal angiomatosis|Lindau disease|VHL|Von Hippel-Lindau syndrome
731,Autosomal recessive polycystic kidney disease,OMIM,263200,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,AR-PKD
731,Autosomal recessive polycystic kidney disease,OMIM,617610,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,AR-PKD
164736,Familial advanced sleep-phase syndrome,OMIM,616882,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,FASPS
164736,Familial advanced sleep-phase syndrome,OMIM,604348,E (Exact mapping: the two concepts are equivalent),Validated,FASPS
164736,Familial advanced sleep-phase syndrome,OMIM,615224,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,FASPS
138,CHARGE syndrome,OMIM,214800,E (Exact mapping: the two concepts are equivalent),Validated,CHARGE association|Coloboma-heart defects-atresia choanae-retardation of growth and development-genitourinary problems-ear abnormalities syndrome|Hall-Hittner syndrome
558,Marfan syndrome,OMIM,610168,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,MFS
558,Marfan syndrome,OMIM,154700,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,MFS
165805,Familial mesial temporal lobe epilepsy with febrile seizures,OMIM,614418,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
803,Amyotrophic lateral sclerosis,OMIM,617892,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,614808,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,615426,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,615515,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,616208,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,616437,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,105400,E (Exact mapping: the two concepts are equivalent),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,205250,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,300857,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,606070,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,606640,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,619133,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,608030,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,608031,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,608627,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,611895,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,612069,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,612577,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,613435,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,613954,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,600795,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,617839,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
803,Amyotrophic lateral sclerosis,OMIM,619141,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,ALS|Charcot disease|Lou Gehrig disease
100,Ataxia-telangiectasia,OMIM,208900,E (Exact mapping: the two concepts are equivalent),Validated,Louis-Bar syndrome
100,Ataxia-telangiectasia,OMIM,208910,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Louis-Bar syndrome
733,Familial adenomatous polyposis,OMIM,175100,E (Exact mapping: the two concepts are equivalent),Validated,Colorectal adenomatous polyposis|FAP|Familial polyposis coli
399,Huntington disease,OMIM,143100,E (Exact mapping: the two concepts are equivalent),Validated,Huntington chorea
501,Lafora disease,OMIM,254780,E (Exact mapping: the two concepts are equivalent),Validated,EPM2|PME type 2|Progressive myoclonic epilepsy type 2|Progressive myoclonus epilepsy type 2
870,Down syndrome,OMIM,190685,E (Exact mapping: the two concepts are equivalent),Validated,Trisomy 21
512,Metachromatic leukodystrophy,OMIM,156310,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Arylsulfatase A deficiency|MLD
512,Metachromatic leukodystrophy,OMIM,249900,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Arylsulfatase A deficiency|MLD
512,Metachromatic leukodystrophy,OMIM,250100,E (Exact mapping: the two concepts are equivalent),Validated,Arylsulfatase A deficiency|MLD
166011,"Multiple epiphyseal dysplasia, Beighton type",OMIM,132450,E (Exact mapping: the two concepts are equivalent),Validated,Multiple epiphyseal dysplasia-myopia-deafness syndrome|Multiple epiphyseal dysplasia-myopia-hearing loss syndrome
567,22q11.2 deletion syndrome,OMIM,188400,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,22q11DS|CATCH 22|Cayler cardiofacial syndrome|Conotruncal anomaly face syndrome|DiGeorge sequence|DiGeorge syndrome|Microdeletion 22q11.2|Monosomy 22q11|Sedlackova syndrome|Shprintzen syndrome|Takao syndrome|Velocardiofacial syndrome
567,22q11.2 deletion syndrome,OMIM,192430,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,22q11DS|CATCH 22|Cayler cardiofacial syndrome|Conotruncal anomaly face syndrome|DiGeorge sequence|DiGeorge syndrome|Microdeletion 22q11.2|Monosomy 22q11|Sedlackova syndrome|Shprintzen syndrome|Takao syndrome|Velocardiofacial syndrome
166016,"Multiple epiphyseal dysplasia, Lowry type",OMIM,601560,E (Exact mapping: the two concepts are equivalent),Validated,Multiple epiphyseal dysplasia with Robin phenotype
232,Sickle cell anemia,OMIM,603903,E (Exact mapping: the two concepts are equivalent),Validated,
165994,Pituitary resistance to thyroid hormone,OMIM,145650,E (Exact mapping: the two concepts are equivalent),Validated,PRTH|Selective pituitary resistance to thyroid hormone
166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,OMIM,600204,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,OMIM,600969,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,OMIM,614135,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,
534,Oculocerebrorenal syndrome of Lowe,OMIM,309000,E (Exact mapping: the two concepts are equivalent),Validated,"Lowe disease|Lowe oculo-cerebro-renal dystrophy|Lowe oculo-cerebro-renal syndrome|Lowe oculocerebrorenal dystrophy|Lowe syndrome|OCRL|Phosphatidylinositol 4,5-biphosphate 5-phosphatase deficiency"
790,Retinoblastoma,OMIM,180200,E (Exact mapping: the two concepts are equivalent),Validated,
165991,Exercise-induced hyperinsulinism,OMIM,610021,E (Exact mapping: the two concepts are equivalent),Validated,EIHI|Exercise-induced hyperinsulinemic hypoglycemia|Hyperinsulinism due to SLC16A1 deficiency|Hyperinsulinism due to monocarboxylate transporter 1 deficiency
652,Multiple endocrine neoplasia type 1,OMIM,131100,E (Exact mapping: the two concepts are equivalent),Validated,MEN1|Wermer syndrome
908,Fragile X syndrome,OMIM,300624,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,FRAXA syndrome|FXS|FraX syndrome|Martin-Bell syndrome
908,Fragile X syndrome,OMIM,311360,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,FRAXA syndrome|FXS|FraX syndrome|Martin-Bell syndrome
3099,Rheumatic fever,OMIM,268240,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Acute rheumatic fever
